Measure #0 from set 1 [2 --> 1], RSSI = -36
Measure #258 from set 1 [2 --> 1], RSSI = -40
Measure #259 from set 1 [1 --> 2], RSSI = -37
Measure #259 from set 1 [2 --> 1], RSSI = -39
Measure #260 from set 1 [1 --> 2], RSSI = -37
Measure #260 from set 1 [2 --> 1], RSSI = -39
Measure #261 from set 1 [1 --> 2], RSSI = -38
Measure #261 from set 1 [2 --> 1], RSSI = -39
Measure #262 from set 1 [1 --> 2], RSSI = -37
Measure #262 from set 1 [2 --> 1], RSSI = -39
Measure #263 from set 1 [1 --> 2], RSSI = -37
Measure #263 from set 1 [2 --> 1], RSSI = -39
Measure #264 from set 1 [1 --> 2], RSSI = -38
Measure #264 from set 1 [2 --> 1], RSSI = -39
Measure #265 from set 1 [1 --> 2], RSSI = -37
Measure #265 from set 1 [2 --> 1], RSSI = -41
Measure #266 from set 1 [1 --> 2], RSSI = -39
Measure #266 from set 1 [2 --> 1], RSSI = -45
Measure #267 from set 1 [1 --> 2], RSSI = -40
Measure #267 from set 1 [2 --> 1], RSSI = -40
Measure #268 from set 1 [1 --> 2], RSSI = -38
Measure #268 from set 1 [2 --> 1], RSSI = -38
Measure #269 from set 1 [1 --> 2], RSSI = -35
Measure #269 from set 1 [2 --> 1], RSSI = -40
Measure #270 from set 1 [1 --> 2], RSSI = -41
Measure #270 from set 1 [2 --> 1], RSSI = -41
Measure #271 from set 1 [1 --> 2], RSSI = -40
Measure #271 from set 1 [1 --> 2], RSSI = -40
Measure #271 from set 1 [2 --> 1], RSSI = -45
Measure #272 from set 1 [1 --> 2], RSSI = -49
Measure #272 from set 1 [2 --> 1], RSSI = -51
Measure #273 from set 1 [1 --> 2], RSSI = -46
Measure #273 from set 1 [2 --> 1], RSSI = -57
Measure #274 from set 1 [1 --> 2], RSSI = -54
Measure #274 from set 1 [2 --> 1], RSSI = -50
Measure #275 from set 1 [1 --> 2], RSSI = -45
Measure #275 from set 1 [2 --> 1], RSSI = -45
Measure #276 from set 1 [1 --> 2], RSSI = -42
Measure #276 from set 1 [2 --> 1], RSSI = -45
Measure #277 from set 1 [1 --> 2], RSSI = -43
Measure #277 from set 1 [2 --> 1], RSSI = -49
Measure #278 from set 1 [1 --> 2], RSSI = -45
Measure #278 from set 1 [2 --> 1], RSSI = -41
Measure #279 from set 1 [1 --> 2], RSSI = -38
Measure #279 from set 1 [2 --> 1], RSSI = -40
Measure #280 from set 1 [1 --> 2], RSSI = -39
Measure #280 from set 1 [2 --> 1], RSSI = -40
Measure #281 from set 1 [1 --> 2], RSSI = -38
Measure #281 from set 1 [2 --> 1], RSSI = -41
Measure #282 from set 1 [1 --> 2], RSSI = -37
Measure #282 from set 1 [2 --> 1], RSSI = -39
Measure #283 from set 1 [1 --> 2], RSSI = -36
Measure #283 from set 1 [2 --> 1], RSSI = -39
Measure #284 from set 1 [1 --> 2], RSSI = -37
Measure #284 from set 1 [2 --> 1], RSSI = -38
Measure #285 from set 1 [1 --> 2], RSSI = -36
Measure #285 from set 1 [2 --> 1], RSSI = -41
Measure #286 from set 1 [1 --> 2], RSSI = -39
Measure #286 from set 1 [2 --> 1], RSSI = -39
Measure #287 from set 1 [1 --> 2], RSSI = -35
Measure #287 from set 1 [2 --> 1], RSSI = -37
Measure #288 from set 1 [1 --> 2], RSSI = -33
Measure #288 from set 1 [2 --> 1], RSSI = -41
Measure #289 from set 1 [1 --> 2], RSSI = -37
Measure #289 from set 1 [2 --> 1], RSSI = -38
Measure #290 from set 1 [1 --> 2], RSSI = -33
Measure #290 from set 1 [2 --> 1], RSSI = -37
Measure #291 from set 1 [1 --> 2], RSSI = -33
Measure #291 from set 1 [2 --> 1], RSSI = -43
Measure #292 from set 1 [1 --> 2], RSSI = -44
Measure #292 from set 1 [2 --> 1], RSSI = -37
Measure #293 from set 1 [1 --> 2], RSSI = -32
Measure #293 from set 1 [2 --> 1], RSSI = -35
Measure #294 from set 1 [1 --> 2], RSSI = -32
Measure #294 from set 1 [2 --> 1], RSSI = -37
Measure #295 from set 1 [1 --> 2], RSSI = -34
Measure #295 from set 1 [2 --> 1], RSSI = -39
Measure #296 from set 1 [1 --> 2], RSSI = -43
Measure #296 from set 1 [2 --> 1], RSSI = -37
Measure #297 from set 1 [1 --> 2], RSSI = -37
Measure #297 from set 1 [2 --> 1], RSSI = -43
Measure #298 from set 1 [1 --> 2], RSSI = -45
Measure #298 from set 1 [2 --> 1], RSSI = -46
Measure #299 from set 1 [1 --> 2], RSSI = -42
Measure #299 from set 1 [2 --> 1], RSSI = -44
Measure #300 from set 1 [1 --> 2], RSSI = -41
Measure #300 from set 1 [2 --> 1], RSSI = -45
Measure #301 from set 1 [1 --> 2], RSSI = -46
Measure #301 from set 1 [2 --> 1], RSSI = -45
Measure #302 from set 1 [1 --> 2], RSSI = -42
Measure #302 from set 1 [2 --> 1], RSSI = -43
Measure #303 from set 1 [1 --> 2], RSSI = -41
Measure #303 from set 1 [2 --> 1], RSSI = -45
Measure #304 from set 1 [1 --> 2], RSSI = -43
Measure #304 from set 1 [2 --> 1], RSSI = -42
Measure #305 from set 1 [1 --> 2], RSSI = -40
Measure #305 from set 1 [2 --> 1], RSSI = -42
Measure #306 from set 1 [1 --> 2], RSSI = -42
Measure #306 from set 1 [2 --> 1], RSSI = -42
Measure #307 from set 1 [1 --> 2], RSSI = -38
Measure #307 from set 1 [2 --> 1], RSSI = -45
Measure #308 from set 1 [1 --> 2], RSSI = -44
Measure #308 from set 1 [2 --> 1], RSSI = -43
Measure #309 from set 1 [1 --> 2], RSSI = -39
Measure #309 from set 1 [2 --> 1], RSSI = -37
Measure #310 from set 1 [1 --> 2], RSSI = -33
Measure #310 from set 1 [2 --> 1], RSSI = -37
Measure #311 from set 1 [1 --> 2], RSSI = -33
Measure #311 from set 1 [2 --> 1], RSSI = -39
Measure #312 from set 1 [1 --> 2], RSSI = -37
Measure #312 from set 1 [2 --> 1], RSSI = -37
Measure #313 from set 1 [1 --> 2], RSSI = -33
Measure #313 from set 1 [2 --> 1], RSSI = -39
Measure #314 from set 1 [1 --> 2], RSSI = -35
Measure #314 from set 1 [2 --> 1], RSSI = -39
Measure #315 from set 1 [1 --> 2], RSSI = -35
Measure #315 from set 1 [2 --> 1], RSSI = -40
Measure #316 from set 1 [1 --> 2], RSSI = -39
Measure #316 from set 1 [2 --> 1], RSSI = -46
Measure #317 from set 1 [1 --> 2], RSSI = -45
Measure #317 from set 1 [2 --> 1], RSSI = -45
Measure #318 from set 1 [1 --> 2], RSSI = -41
Measure #318 from set 1 [2 --> 1], RSSI = -45
Measure #319 from set 1 [1 --> 2], RSSI = -42
Measure #319 from set 1 [2 --> 1], RSSI = -44
Measure #320 from set 1 [1 --> 2], RSSI = -41
Measure #320 from set 1 [2 --> 1], RSSI = -47
Measure #321 from set 1 [1 --> 2], RSSI = -44
Measure #321 from set 1 [2 --> 1], RSSI = -48
Measure #322 from set 1 [1 --> 2], RSSI = -45
Measure #322 from set 1 [2 --> 1], RSSI = -50
Measure #323 from set 1 [1 --> 2], RSSI = -45
Measure #323 from set 1 [2 --> 1], RSSI = -50
Measure #324 from set 1 [1 --> 2], RSSI = -45
Measure #324 from set 1 [2 --> 1], RSSI = -45
Measure #325 from set 1 [1 --> 2], RSSI = -42
Measure #325 from set 1 [2 --> 1], RSSI = -42
Measure #326 from set 1 [1 --> 2], RSSI = -39
Measure #326 from set 1 [2 --> 1], RSSI = -41
Measure #327 from set 1 [1 --> 2], RSSI = -39
Measure #327 from set 1 [2 --> 1], RSSI = -49
Measure #328 from set 1 [1 --> 2], RSSI = -44
Measure #328 from set 1 [2 --> 1], RSSI = -43
Measure #329 from set 1 [1 --> 2], RSSI = -44
Measure #329 from set 1 [2 --> 1], RSSI = -48
Measure #330 from set 1 [1 --> 2], RSSI = -57
Measure #330 from set 1 [2 --> 1], RSSI = -52
Measure #331 from set 1 [1 --> 2], RSSI = -45
Measure #331 from set 1 [2 --> 1], RSSI = -43
Measure #332 from set 1 [1 --> 2], RSSI = -42
Measure #332 from set 1 [2 --> 1], RSSI = -40
Measure #333 from set 1 [1 --> 2], RSSI = -37
Measure #333 from set 1 [2 --> 1], RSSI = -39
Measure #334 from set 1 [1 --> 2], RSSI = -39
Measure #334 from set 1 [2 --> 1], RSSI = -50
Measure #335 from set 1 [1 --> 2], RSSI = -42
Measure #335 from set 1 [2 --> 1], RSSI = -40
Measure #336 from set 1 [1 --> 2], RSSI = -37
Measure #336 from set 1 [2 --> 1], RSSI = -42
Measure #337 from set 1 [1 --> 2], RSSI = -39
Measure #337 from set 1 [2 --> 1], RSSI = -40
Measure #338 from set 1 [1 --> 2], RSSI = -39
Measure #338 from set 1 [2 --> 1], RSSI = -41
Measure #339 from set 1 [1 --> 2], RSSI = -37
Measure #339 from set 1 [2 --> 1], RSSI = -40
Measure #340 from set 1 [1 --> 2], RSSI = -39
Measure #340 from set 1 [2 --> 1], RSSI = -45
Measure #341 from set 1 [1 --> 2], RSSI = -41
Measure #341 from set 1 [2 --> 1], RSSI = -41
Measure #342 from set 1 [1 --> 2], RSSI = -39
Measure #342 from set 1 [2 --> 1], RSSI = -42
Measure #343 from set 1 [1 --> 2], RSSI = -41
Measure #343 from set 1 [2 --> 1], RSSI = -45
Measure #344 from set 1 [1 --> 2], RSSI = -41
Measure #344 from set 1 [2 --> 1], RSSI = -41
Measure #345 from set 1 [1 --> 2], RSSI = -39
Measure #345 from set 1 [2 --> 1], RSSI = -46
Measure #346 from set 1 [1 --> 2], RSSI = -41
Measure #346 from set 1 [2 --> 1], RSSI = -45
Measure #347 from set 1 [1 --> 2], RSSI = -41
Measure #347 from set 1 [2 --> 1], RSSI = -41
Measure #348 from set 1 [1 --> 2], RSSI = -39
Measure #348 from set 1 [2 --> 1], RSSI = -41
Measure #349 from set 1 [1 --> 2], RSSI = -39
Measure #349 from set 1 [2 --> 1], RSSI = -42
Measure #350 from set 1 [1 --> 2], RSSI = -39
Measure #350 from set 1 [2 --> 1], RSSI = -45
Measure #351 from set 1 [1 --> 2], RSSI = -45
Measure #351 from set 1 [2 --> 1], RSSI = -50
Measure #352 from set 1 [1 --> 2], RSSI = -45
Measure #352 from set 1 [2 --> 1], RSSI = -44
Measure #353 from set 1 [1 --> 2], RSSI = -42
Measure #353 from set 1 [2 --> 1], RSSI = -42
Measure #354 from set 1 [1 --> 2], RSSI = -40
Measure #354 from set 1 [2 --> 1], RSSI = -38
Measure #355 from set 1 [1 --> 2], RSSI = -35
Measure #355 from set 1 [2 --> 1], RSSI = -37
Measure #356 from set 1 [1 --> 2], RSSI = -37
Measure #356 from set 1 [2 --> 1], RSSI = -40
Measure #357 from set 1 [1 --> 2], RSSI = -37
Measure #357 from set 1 [2 --> 1], RSSI = -37
Measure #358 from set 1 [1 --> 2], RSSI = -33
Measure #358 from set 1 [2 --> 1], RSSI = -37
Measure #359 from set 1 [1 --> 2], RSSI = -33
Measure #359 from set 1 [2 --> 1], RSSI = -37
Measure #360 from set 1 [1 --> 2], RSSI = -32
Measure #360 from set 1 [2 --> 1], RSSI = -37
Measure #361 from set 1 [1 --> 2], RSSI = -35
Measure #361 from set 1 [2 --> 1], RSSI = -40
Measure #362 from set 1 [1 --> 2], RSSI = -39
Measure #362 from set 1 [2 --> 1], RSSI = -43
Measure #363 from set 1 [1 --> 2], RSSI = -40
Measure #363 from set 1 [2 --> 1], RSSI = -43
Measure #364 from set 1 [1 --> 2], RSSI = -39
Measure #364 from set 1 [2 --> 1], RSSI = -42
Measure #365 from set 1 [1 --> 2], RSSI = -39
Measure #365 from set 1 [2 --> 1], RSSI = -41
Measure #366 from set 1 [1 --> 2], RSSI = -39
Measure #366 from set 1 [2 --> 1], RSSI = -40
Measure #367 from set 1 [1 --> 2], RSSI = -37
Measure #367 from set 1 [2 --> 1], RSSI = -40
Measure #368 from set 1 [1 --> 2], RSSI = -37
Measure #368 from set 1 [2 --> 1], RSSI = -39
Measure #369 from set 1 [1 --> 2], RSSI = -37
Measure #369 from set 1 [2 --> 1], RSSI = -39
Measure #370 from set 1 [1 --> 2], RSSI = -36
Measure #370 from set 1 [2 --> 1], RSSI = -37
Measure #371 from set 1 [1 --> 2], RSSI = -35
Measure #371 from set 1 [2 --> 1], RSSI = -37
Measure #372 from set 1 [1 --> 2], RSSI = -34
Measure #372 from set 1 [2 --> 1], RSSI = -38
Measure #373 from set 1 [1 --> 2], RSSI = -34
Measure #373 from set 1 [2 --> 1], RSSI = -39
Measure #374 from set 1 [1 --> 2], RSSI = -38
Measure #374 from set 1 [2 --> 1], RSSI = -37
Measure #375 from set 1 [1 --> 2], RSSI = -33
Measure #375 from set 1 [2 --> 1], RSSI = -37
Measure #376 from set 1 [1 --> 2], RSSI = -33
Measure #376 from set 1 [2 --> 1], RSSI = -37
Measure #377 from set 1 [1 --> 2], RSSI = -33
Measure #377 from set 1 [2 --> 1], RSSI = -37
Measure #378 from set 1 [1 --> 2], RSSI = -33
Measure #378 from set 1 [2 --> 1], RSSI = -37
Measure #379 from set 1 [1 --> 2], RSSI = -35
Measure #379 from set 1 [2 --> 1], RSSI = -39
Measure #380 from set 1 [1 --> 2], RSSI = -37
Measure #380 from set 1 [2 --> 1], RSSI = -40
Measure #381 from set 1 [1 --> 2], RSSI = -38
Measure #381 from set 1 [2 --> 1], RSSI = -39
Measure #382 from set 1 [1 --> 2], RSSI = -37
Measure #382 from set 1 [2 --> 1], RSSI = -36
Measure #383 from set 1 [1 --> 2], RSSI = -31
Measure #383 from set 1 [2 --> 1], RSSI = -36
Measure #384 from set 1 [1 --> 2], RSSI = -32
Measure #384 from set 1 [2 --> 1], RSSI = -39
Measure #385 from set 1 [1 --> 2], RSSI = -39
Measure #385 from set 1 [2 --> 1], RSSI = -41
Measure #386 from set 1 [1 --> 2], RSSI = -37
Measure #386 from set 1 [2 --> 1], RSSI = -37
Measure #387 from set 1 [1 --> 2], RSSI = -33
Measure #387 from set 1 [2 --> 1], RSSI = -37
Measure #388 from set 1 [1 --> 2], RSSI = -33
Measure #388 from set 1 [2 --> 1], RSSI = -39
Measure #389 from set 1 [1 --> 2], RSSI = -33
Measure #389 from set 1 [2 --> 1], RSSI = -36
Measure #390 from set 1 [1 --> 2], RSSI = -33
Measure #390 from set 1 [2 --> 1], RSSI = -38
Measure #391 from set 1 [1 --> 2], RSSI = -34
Measure #391 from set 1 [2 --> 1], RSSI = -39
Measure #392 from set 1 [1 --> 2], RSSI = -33
Measure #392 from set 1 [2 --> 1], RSSI = -37
Measure #393 from set 1 [1 --> 2], RSSI = -37
Measure #393 from set 1 [2 --> 1], RSSI = -46
Measure #394 from set 1 [1 --> 2], RSSI = -41
Measure #394 from set 1 [2 --> 1], RSSI = -55
Measure #395 from set 1 [1 --> 2], RSSI = -43
Measure #395 from set 1 [2 --> 1], RSSI = -41
Measure #396 from set 1 [1 --> 2], RSSI = -39
Measure #396 from set 1 [2 --> 1], RSSI = -51
Measure #397 from set 1 [1 --> 2], RSSI = -47
Measure #397 from set 1 [2 --> 1], RSSI = -46
Measure #398 from set 1 [1 --> 2], RSSI = -41
Measure #398 from set 1 [2 --> 1], RSSI = -40
Measure #399 from set 1 [1 --> 2], RSSI = -37
Measure #399 from set 1 [2 --> 1], RSSI = -39
Measure #400 from set 1 [1 --> 2], RSSI = -37
Measure #400 from set 1 [2 --> 1], RSSI = -41
Measure #401 from set 1 [1 --> 2], RSSI = -41
Measure #401 from set 1 [2 --> 1], RSSI = -40
Measure #402 from set 1 [1 --> 2], RSSI = -37
Measure #402 from set 1 [2 --> 1], RSSI = -39
Measure #403 from set 1 [1 --> 2], RSSI = -37
Measure #403 from set 1 [2 --> 1], RSSI = -40
Measure #404 from set 1 [1 --> 2], RSSI = -39
Measure #404 from set 1 [2 --> 1], RSSI = -39
Measure #405 from set 1 [1 --> 2], RSSI = -35
Measure #405 from set 1 [2 --> 1], RSSI = -38
Measure #406 from set 1 [1 --> 2], RSSI = -33
Measure #406 from set 1 [2 --> 1], RSSI = -37
Measure #407 from set 1 [1 --> 2], RSSI = -32
Measure #407 from set 1 [2 --> 1], RSSI = -37
Measure #408 from set 1 [1 --> 2], RSSI = -33
Measure #408 from set 1 [2 --> 1], RSSI = -40
Measure #409 from set 1 [1 --> 2], RSSI = -39
Measure #409 from set 1 [2 --> 1], RSSI = -51
Measure #410 from set 1 [1 --> 2], RSSI = -44
Measure #410 from set 1 [2 --> 1], RSSI = -45
Measure #411 from set 1 [1 --> 2], RSSI = -43
Measure #411 from set 1 [2 --> 1], RSSI = -45
Measure #412 from set 1 [1 --> 2], RSSI = -41
Measure #412 from set 1 [2 --> 1], RSSI = -40
Measure #413 from set 1 [1 --> 2], RSSI = -37
Measure #413 from set 1 [2 --> 1], RSSI = -41
Measure #414 from set 1 [1 --> 2], RSSI = -37
Measure #414 from set 1 [2 --> 1], RSSI = -39
Measure #415 from set 1 [1 --> 2], RSSI = -36
Measure #415 from set 1 [2 --> 1], RSSI = -39
Measure #416 from set 1 [1 --> 2], RSSI = -37
Measure #416 from set 1 [2 --> 1], RSSI = -39
Measure #417 from set 1 [1 --> 2], RSSI = -37
Measure #417 from set 1 [2 --> 1], RSSI = -39
Measure #418 from set 1 [1 --> 2], RSSI = -37
Measure #418 from set 1 [2 --> 1], RSSI = -38
Measure #419 from set 1 [1 --> 2], RSSI = -36
Measure #419 from set 1 [2 --> 1], RSSI = -45
Measure #420 from set 1 [1 --> 2], RSSI = -41
Measure #420 from set 1 [2 --> 1], RSSI = -46
Measure #421 from set 1 [1 --> 2], RSSI = -43
Measure #421 from set 1 [2 --> 1], RSSI = -44
Measure #422 from set 1 [1 --> 2], RSSI = -39
Measure #422 from set 1 [2 --> 1], RSSI = -43
Measure #423 from set 1 [1 --> 2], RSSI = -40
Measure #423 from set 1 [2 --> 1], RSSI = -41
Measure #424 from set 1 [1 --> 2], RSSI = -37
Measure #424 from set 1 [2 --> 1], RSSI = -39
Measure #425 from set 1 [1 --> 2], RSSI = -37
Measure #425 from set 1 [2 --> 1], RSSI = -39
Measure #426 from set 1 [1 --> 2], RSSI = -37
Measure #426 from set 1 [2 --> 1], RSSI = -37
Measure #427 from set 1 [1 --> 2], RSSI = -33
Measure #427 from set 1 [2 --> 1], RSSI = -37
Measure #428 from set 1 [1 --> 2], RSSI = -33
Measure #428 from set 1 [2 --> 1], RSSI = -38
Measure #429 from set 1 [1 --> 2], RSSI = -35
Measure #429 from set 1 [2 --> 1], RSSI = -37
Measure #430 from set 1 [1 --> 2], RSSI = -33
Measure #430 from set 1 [2 --> 1], RSSI = -37
Measure #431 from set 1 [1 --> 2], RSSI = -32
Measure #431 from set 1 [2 --> 1], RSSI = -37
Measure #432 from set 1 [1 --> 2], RSSI = -34
Measure #432 from set 1 [2 --> 1], RSSI = -37
Measure #433 from set 1 [1 --> 2], RSSI = -34
Measure #433 from set 1 [2 --> 1], RSSI = -37
Measure #434 from set 1 [1 --> 2], RSSI = -35
Measure #434 from set 1 [2 --> 1], RSSI = -39
Measure #435 from set 1 [1 --> 2], RSSI = -37
Measure #435 from set 1 [2 --> 1], RSSI = -40
Measure #436 from set 1 [1 --> 2], RSSI = -37
Measure #436 from set 1 [2 --> 1], RSSI = -39
Measure #437 from set 1 [1 --> 2], RSSI = -37
Measure #437 from set 1 [2 --> 1], RSSI = -39
Measure #438 from set 1 [1 --> 2], RSSI = -37
Measure #438 from set 1 [2 --> 1], RSSI = -37
Measure #439 from set 1 [1 --> 2], RSSI = -31
Measure #439 from set 1 [2 --> 1], RSSI = -36
Measure #440 from set 1 [1 --> 2], RSSI = -31
Measure #440 from set 1 [2 --> 1], RSSI = -36
Measure #441 from set 1 [1 --> 2], RSSI = -33
Measure #441 from set 1 [2 --> 1], RSSI = -39
Measure #442 from set 1 [1 --> 2], RSSI = -37
Measure #442 from set 1 [2 --> 1], RSSI = -43
Measure #443 from set 1 [1 --> 2], RSSI = -41
Measure #443 from set 1 [2 --> 1], RSSI = -43
Measure #444 from set 1 [1 --> 2], RSSI = -39
Measure #444 from set 1 [2 --> 1], RSSI = -42
Measure #445 from set 1 [1 --> 2], RSSI = -39
Measure #445 from set 1 [2 --> 1], RSSI = -41
Measure #446 from set 1 [1 --> 2], RSSI = -39
Measure #446 from set 1 [2 --> 1], RSSI = -41
Measure #447 from set 1 [1 --> 2], RSSI = -39
Measure #447 from set 1 [2 --> 1], RSSI = -41
Measure #448 from set 1 [1 --> 2], RSSI = -39
Measure #448 from set 1 [2 --> 1], RSSI = -39
Measure #449 from set 1 [1 --> 2], RSSI = -37
Measure #449 from set 1 [2 --> 1], RSSI = -39
Measure #450 from set 1 [1 --> 2], RSSI = -37
Measure #450 from set 1 [2 --> 1], RSSI = -41
Measure #451 from set 1 [1 --> 2], RSSI = -39
Measure #451 from set 1 [2 --> 1], RSSI = -46
Measure #452 from set 1 [1 --> 2], RSSI = -43
Measure #452 from set 1 [2 --> 1], RSSI = -47
Measure #453 from set 1 [1 --> 2], RSSI = -49
Measure #453 from set 1 [2 --> 1], RSSI = -57
Measure #454 from set 1 [1 --> 2], RSSI = -50
Measure #454 from set 1 [2 --> 1], RSSI = -51
Measure #455 from set 1 [1 --> 2], RSSI = -50
Measure #455 from set 1 [2 --> 1], RSSI = -49
Measure #456 from set 1 [1 --> 2], RSSI = -42
Measure #456 from set 1 [2 --> 1], RSSI = -40
Measure #457 from set 1 [1 --> 2], RSSI = -40
Measure #457 from set 1 [2 --> 1], RSSI = -44
Measure #458 from set 1 [1 --> 2], RSSI = -43
Measure #458 from set 1 [2 --> 1], RSSI = -49
Measure #459 from set 1 [1 --> 2], RSSI = -42
Measure #459 from set 1 [2 --> 1], RSSI = -40
Measure #460 from set 1 [1 --> 2], RSSI = -39
Measure #460 from set 1 [2 --> 1], RSSI = -49
Measure #461 from set 1 [1 --> 2], RSSI = -44
Measure #461 from set 1 [2 --> 1], RSSI = -47
Measure #462 from set 1 [1 --> 2], RSSI = -41
Measure #462 from set 1 [2 --> 1], RSSI = -43
Measure #463 from set 1 [1 --> 2], RSSI = -39
Measure #463 from set 1 [2 --> 1], RSSI = -44
Measure #464 from set 1 [1 --> 2], RSSI = -43
Measure #464 from set 1 [2 --> 1], RSSI = -46
Measure #465 from set 1 [1 --> 2], RSSI = -41
Measure #465 from set 1 [2 --> 1], RSSI = -39
Measure #466 from set 1 [1 --> 2], RSSI = -39
Measure #466 from set 1 [2 --> 1], RSSI = -39
Measure #467 from set 1 [1 --> 2], RSSI = -38
Measure #467 from set 1 [2 --> 1], RSSI = -41
Measure #468 from set 1 [1 --> 2], RSSI = -38
Measure #468 from set 1 [2 --> 1], RSSI = -43
Measure #469 from set 1 [1 --> 2], RSSI = -39
Measure #469 from set 1 [2 --> 1], RSSI = -40
Measure #470 from set 1 [1 --> 2], RSSI = -37
Measure #470 from set 1 [2 --> 1], RSSI = -39
Measure #471 from set 1 [1 --> 2], RSSI = -36
Measure #471 from set 1 [2 --> 1], RSSI = -36
Measure #472 from set 1 [1 --> 2], RSSI = -33
Measure #472 from set 1 [2 --> 1], RSSI = -39
Measure #473 from set 1 [1 --> 2], RSSI = -37
Measure #473 from set 1 [2 --> 1], RSSI = -39
Measure #474 from set 1 [1 --> 2], RSSI = -37
Measure #474 from set 1 [2 --> 1], RSSI = -40
Measure #475 from set 1 [1 --> 2], RSSI = -39
Measure #475 from set 1 [2 --> 1], RSSI = -37
Measure #476 from set 1 [1 --> 2], RSSI = -31
Measure #476 from set 1 [2 --> 1], RSSI = -39
Measure #477 from set 1 [1 --> 2], RSSI = -40
Measure #477 from set 1 [2 --> 1], RSSI = -39
Measure #478 from set 1 [1 --> 2], RSSI = -33
Measure #478 from set 1 [2 --> 1], RSSI = -50
Measure #479 from set 1 [1 --> 2], RSSI = -49
Measure #479 from set 1 [2 --> 1], RSSI = -47
Measure #480 from set 1 [1 --> 2], RSSI = -52
Measure #480 from set 1 [2 --> 1], RSSI = -49
Measure #481 from set 1 [1 --> 2], RSSI = -47
Measure #481 from set 1 [2 --> 1], RSSI = -44
Measure #482 from set 1 [1 --> 2], RSSI = -43
Measure #482 from set 1 [2 --> 1], RSSI = -39
Measure #483 from set 1 [1 --> 2], RSSI = -36
Measure #483 from set 1 [2 --> 1], RSSI = -39
Measure #484 from set 1 [1 --> 2], RSSI = -37
Measure #484 from set 1 [2 --> 1], RSSI = -40
Measure #485 from set 1 [1 --> 2], RSSI = -37
Measure #485 from set 1 [2 --> 1], RSSI = -37
Measure #486 from set 1 [1 --> 2], RSSI = -37
Measure #486 from set 1 [2 --> 1], RSSI = -39
Measure #487 from set 1 [1 --> 2], RSSI = -38
Measure #487 from set 1 [2 --> 1], RSSI = -39
Measure #488 from set 1 [1 --> 2], RSSI = -37
Measure #488 from set 1 [2 --> 1], RSSI = -39
Measure #489 from set 1 [1 --> 2], RSSI = -37
Measure #489 from set 1 [2 --> 1], RSSI = -42
Measure #490 from set 1 [1 --> 2], RSSI = -40
Measure #490 from set 1 [2 --> 1], RSSI = -40
Measure #491 from set 1 [1 --> 2], RSSI = -39
Measure #491 from set 1 [2 --> 1], RSSI = -41
Measure #492 from set 1 [1 --> 2], RSSI = -39
Measure #492 from set 1 [2 --> 1], RSSI = -39
Measure #493 from set 1 [1 --> 2], RSSI = -36
Measure #493 from set 1 [2 --> 1], RSSI = -43
Measure #494 from set 1 [1 --> 2], RSSI = -37
Measure #494 from set 1 [2 --> 1], RSSI = -36
Measure #495 from set 1 [1 --> 2], RSSI = -32
Measure #495 from set 1 [2 --> 1], RSSI = -41
Measure #496 from set 1 [1 --> 2], RSSI = -39
Measure #496 from set 1 [2 --> 1], RSSI = -41
Measure #497 from set 1 [1 --> 2], RSSI = -39
Measure #497 from set 1 [2 --> 1], RSSI = -37
Measure #498 from set 1 [1 --> 2], RSSI = -32
Measure #498 from set 1 [2 --> 1], RSSI = -37
Measure #499 from set 1 [1 --> 2], RSSI = -37
Measure #499 from set 1 [2 --> 1], RSSI = -38
Measure #500 from set 1 [1 --> 2], RSSI = -39
Measure #500 from set 1 [2 --> 1], RSSI = -39
Measure #501 from set 1 [1 --> 2], RSSI = -43
Measure #501 from set 1 [2 --> 1], RSSI = -45
Measure #502 from set 1 [1 --> 2], RSSI = -49
Measure #502 from set 1 [2 --> 1], RSSI = -52
Measure #503 from set 1 [1 --> 2], RSSI = -51
Measure #503 from set 1 [2 --> 1], RSSI = -41
Measure #504 from set 1 [1 --> 2], RSSI = -39
Measure #504 from set 1 [2 --> 1], RSSI = -39
Measure #505 from set 1 [1 --> 2], RSSI = -35
Measure #505 from set 1 [2 --> 1], RSSI = -39
Measure #506 from set 1 [1 --> 2], RSSI = -37
Measure #506 from set 1 [2 --> 1], RSSI = -42
Measure #507 from set 1 [1 --> 2], RSSI = -42
Measure #507 from set 1 [2 --> 1], RSSI = -43
Measure #508 from set 1 [1 --> 2], RSSI = -41
Measure #508 from set 1 [2 --> 1], RSSI = -39
Measure #509 from set 1 [1 --> 2], RSSI = -37
Measure #509 from set 1 [2 --> 1], RSSI = -37
Measure #510 from set 1 [1 --> 2], RSSI = -33
Measure #510 from set 1 [2 --> 1], RSSI = -35
Measure #511 from set 1 [1 --> 2], RSSI = -32
Measure #511 from set 1 [2 --> 1], RSSI = -37
Measure #512 from set 1 [1 --> 2], RSSI = -34
Measure #512 from set 1 [2 --> 1], RSSI = -61
Measure #513 from set 1 [1 --> 2], RSSI = -53
Measure #513 from set 1 [2 --> 1], RSSI = -47
Measure #514 from set 1 [1 --> 2], RSSI = -43
Measure #514 from set 1 [2 --> 1], RSSI = -45
Measure #515 from set 1 [1 --> 2], RSSI = -41
Measure #515 from set 1 [2 --> 1], RSSI = -42
Measure #516 from set 1 [1 --> 2], RSSI = -39
